Area,PostCode,Lat,Lon
CHASE,49623,43.8806959,-85.6640365
CHASSELL,49916,46.9913781,-88.5969857
CHATHAM,49816,46.26314,-86.9048196
CHEBOYGAN,49721,45.5785465,-84.4277638
CHESANING,48616,43.1980494,-84.1224036
CLARE,48617,43.8606165,-84.7315563
CLARKSVILLE,48815,42.8341666,-85.2618987
CLIFFORD,48727,43.3092327,-83.1756188
CLIMAX,49034,42.230707,-85.3446321
COLDWATER,49036,41.9327779,-85.0649071
COLEMAN,48618,43.7564101,-84.5431867
COLOMA,49038,42.2072135,-86.3275351
COLON,49040,41.9638164,-85.3342973
COMINS,48619,44.8237468,-83.9955879
COMSTOCK PARK,49321,43.0734054,-85.6640365
CONKLIN,49403,43.1197182,-85.8690933
CONSTANTINE,49042,41.8578585,-85.6640365
COOKS,49817,45.9450741,-86.4802489
COOPERSVILLE,49404,43.0838956,-85.9508923
COPEMISH,49625,44.4568465,-85.8690933
CORAL,49322,43.3603266,-85.3446321
CORNELL,49818,45.9090811,-87.2526019
CORUNNA,48817,43.000306,-84.0378894
COVERT,49043,42.2745346,-86.2767995
COVINGTON,49919,46.4671546,-88.4393927
CRYSTAL,48818,43.2747852,-84.9193082
CRYSTAL FALLS,49920,46.1582182,-88.2945022
CURRAN,48728,44.7400133,-83.8260884
CURTIS,49820,46.2150621,-85.7107598
CUSTER,49405,43.8995916,-86.1955169
DAFTER,49724,46.3233979,-84.4359597
DAGGETT,49821,45.481961,-87.6364741
DANSVILLE,48819,42.5461033,-84.2910759
DECATUR,49045,42.1072145,-85.9917437
DEERTON,49822,46.4196661,-87.0142118
DEFORD,48729,43.4922744,-83.1863358
DELTON,49046,42.5183433,-85.4169211
DE TOUR VILLAGE,49725,45.994397,-83.9026421
DEWITT,48820,42.8722569,-84.5850997
DIMONDALE,48821,42.6517139,-84.6583745
DORR,49323,42.7280022,-85.7871663
DOWAGIAC,49047,41.9736986,-86.1344697
DOWLING,49050,42.4818088,-85.2411958
DRUMMOND ISLAND,49726,45.9939894,-83.6367685
EAGLE,48822,42.8411596,-84.7524482
EAST JORDAN,49727,45.1393985,-85.1276986
EAST LANSING,48823,42.758734,-84.448772
EAST LANSING,48824,42.724305,-84.4796047
